sequence_id,chaotic_value,normalized_index
0,0.9419112302240618,579846460
1,0.2183107137614066,134393444
2,0.6808980726133832,419165124
3,0.866930790425805,533688031
4,0.46029356219960094,283359603
5,0.9912093612008402,610194699
6,0.034766320239963226,21402364
7,0.13389491663557285,82426550
8,0.46270860105955613,284846316
9,0.991951312744608,610651449
10,0.03185578449653893,19610620
11,0.12305556402768954,75753777
12,0.4305724398361718,265063094
13,0.9782674574198951,602227582
14,0.08482835430070435,52220866
15,0.3097536933832807,190686316
16,0.8530873078466019,525165897
17,0.5000641186201795,307842607
18,0.9974999835963223,614067246
19,0.009950127623419564,6125360
20,0.03930597910895194,24197007
21,0.15066646626980193,92751221
22,0.5105846680241746,314319124
23,0.9970529795632438,613792067
24,0.011723958674133186,7217342
25,0.046230164793890215,28459579
26,0.1759308172615097,108304114
27,0.5784668675488358,356107831
28,0.9729333732813232,598943886
29,0.10507275750262685,64683448
30,0.3751895678023499,230969051
31,0.9353452004983969,575804371
32,0.24129348004801243,148541779
33,0.7304530367719841,449671470
34,0.7855966773918565,483618241
35,0.6720538060723001,413720538
36,0.879385976385981,541355522
37,0.4232044608774068,260527320
38,0.9739687562317724,599581275
39,0.1011609362832659,62275306
40,0.3628003310017001,223342159
41,0.9223932407987604,567831064
42,0.2856199610088065,175829439
43,0.8141243835397162,501180076
44,0.6037902279465153,371697051
45,0.9545180784454136,587607315
46,0.17321913230149258,106634784
47,0.5714249153797802,351772761
48,0.977144941037335,601536554
49,0.08910749391748782,54855132
50,0.32385772029647847,199368843
51,0.8737058502303772,537858801
52,0.44027231063932776,271034395
53,0.9832660864633037,605304769
54,0.06565101980102622,40415179
55,0.2447504439664448,150669908
56,0.7375421799372452,454035591
57,0.772359113875139,475469114
58,0.7015238472257048,431862480
59,0.8354586746074096,514313600
60,0.5484952357462539,337657107
61,0.988116366318562,608290632
62,0.04685222759853381,28842525
63,0.1781818145066801,109689842
64,0.5842678913882907,359678978
65,0.9691667006990753,596625099
66,0.11923160175102579,73399721
67,0.41901155331069323,257946140
68,0.9713290772963847,597956272
69,0.11111711457080496,68404392
70,0.39409270466685165,242605940
71,0.952746742732917,586516870
72,0.17963134390948798,110582181
73,0.5879820575370894,361965442
74,0.9666140386306458,595053664
75,0.1287626424216649,79267090
76,0.44760946910963895,275551196
77,0.9865483767693743,607325368
78,0.05295000148171692,32596353
79,0.20008373231096435,123172800
80,0.6386004271781601,393126428
81,0.9208517871282658,566882135
82,0.2908062553510701,179022154
83,0.8228895290270356,506575955
84,0.5815119846583495,357982424
85,0.9709896274646574,597747304
86,0.11239339557460576,69190079
87,0.39804686962120567,245040149
88,0.9560261812317987,588535713
89,0.16774008690425926,103261849
90,0.5570173670969472,342903384
91,0.9845285891988347,606081974
92,0.06077586453345775,37414003
93,0.2277578137064375,140209138
94,0.7017779260883839,432018892
95,0.8350498174884482,514061905
96,0.5495890630058207,338330474
97,0.987688290072517,608027106
98,0.04851892558731656,29868554
99,0.18419770939420432,113393265
100,0.599572963860049,369100877
101,0.9579400472238204,589713901
102,0.16076074346309405,98965321
103,0.5383177400289064,331391777
104,0.9916416856883179,610460841
105,0.03307092704526144,20358670
106,0.12758919091021745,78544706
